,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"B[Vocab, Vocab]",0.123,0.186,-0.234,0.486,0.001,0.001,49586.0,26037.0,1.0
"B[Vocab, Spelling]",0.0,0.133,-0.246,0.274,0.001,0.001,40966.0,25874.0,1.0
"B[Vocab, WordReading]",-0.017,0.104,-0.219,0.189,0.001,0.001,26045.0,23458.0,1.0
"B[Spelling, Vocab]",0.014,0.143,-0.262,0.294,0.001,0.001,58606.0,23578.0,1.0
"B[Spelling, Spelling]",0.195,0.162,-0.124,0.502,0.001,0.001,24300.0,24498.0,1.0
"B[Spelling, WordReading]",0.115,0.116,-0.112,0.338,0.001,0.001,11309.0,18771.0,1.0
"B[WordReading, Vocab]",0.024,0.138,-0.24,0.288,0.001,0.001,46129.0,27693.0,1.0
"B[WordReading, Spelling]",0.1,0.139,-0.168,0.369,0.001,0.001,19710.0,23769.0,1.0
"B[WordReading, WordReading]",0.399,0.093,0.211,0.575,0.001,0.001,6829.0,5468.0,1.0
B_autoregressive[Vocab],0.123,0.186,-0.234,0.486,0.001,0.001,49586.0,26037.0,1.0
B_autoregressive[Spelling],0.195,0.162,-0.124,0.502,0.001,0.001,24300.0,24498.0,1.0
B_autoregressive[WordReading],0.399,0.093,0.211,0.575,0.001,0.001,6829.0,5468.0,1.0
"B_crosslag[Vocab, Vocab]",0.0,0.0,-0.0,0.0,0.0,,32000.0,32000.0,
"B_crosslag[Vocab, Spelling]",0.0,0.133,-0.246,0.274,0.001,0.001,40966.0,25874.0,1.0
"B_crosslag[Vocab, WordReading]",-0.017,0.104,-0.219,0.189,0.001,0.001,26045.0,23458.0,1.0
"B_crosslag[Spelling, Vocab]",0.014,0.143,-0.262,0.294,0.001,0.001,58606.0,23578.0,1.0
"B_crosslag[Spelling, Spelling]",0.0,0.0,0.0,0.0,0.0,,32000.0,32000.0,
"B_crosslag[Spelling, WordReading]",0.115,0.116,-0.112,0.338,0.001,0.001,11309.0,18771.0,1.0
"B_crosslag[WordReading, Vocab]",0.024,0.138,-0.24,0.288,0.001,0.001,46129.0,27693.0,1.0
"B_crosslag[WordReading, Spelling]",0.1,0.139,-0.168,0.369,0.001,0.001,19710.0,23769.0,1.0
