,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"B_crosslag[WordReading, WordReading]",0.0,0.0,0.0,0.0,0.0,,32000.0,32000.0,
B_half_life[Vocab],0.418,0.207,0.11,0.835,0.001,0.002,24565.0,24077.0,1.0
B_half_life[Spelling],0.47,0.212,0.113,0.877,0.001,0.001,26031.0,25353.0,1.0
B_half_life[WordReading],0.781,0.206,0.408,1.194,0.003,0.003,6837.0,5468.0,1.0
beta_age[Vocab],0.386,0.068,0.252,0.518,0.001,0.0,17130.0,22189.0,1.0
beta_age[Spelling],0.449,0.095,0.262,0.633,0.001,0.001,5661.0,6510.0,1.0
beta_age[WordReading],0.47,0.116,0.24,0.693,0.001,0.001,7630.0,8765.0,1.0
"beta_person[gender, Vocab]",-0.235,0.1,-0.435,-0.035,0.001,0.001,38759.0,25919.0,1.0
"beta_person[gender, Spelling]",0.041,0.122,-0.199,0.277,0.001,0.001,28248.0,26870.0,1.0
"beta_person[gender, WordReading]",-0.036,0.153,-0.34,0.261,0.001,0.001,25841.0,25261.0,1.0
alpha_sd[Vocab],0.185,0.071,0.027,0.319,0.001,0.001,6742.0,6257.0,1.0
alpha_sd[Spelling],0.26,0.073,0.111,0.41,0.001,0.001,4084.0,1626.0,1.0
alpha_sd[WordReading],0.406,0.09,0.232,0.586,0.002,0.003,3593.0,1316.0,1.0
"alpha_corr[Vocab, Vocab]",1.0,0.0,1.0,1.0,0.0,,32000.0,32000.0,
"alpha_corr[Vocab, Spelling]",0.178,0.269,-0.353,0.686,0.003,0.002,9643.0,9781.0,1.0
"alpha_corr[Vocab, WordReading]",0.224,0.251,-0.257,0.716,0.003,0.002,8049.0,8017.0,1.0
"alpha_corr[Spelling, Vocab]",0.178,0.269,-0.353,0.686,0.003,0.002,9643.0,9781.0,1.0
"alpha_corr[Spelling, Spelling]",1.0,0.0,1.0,1.0,0.0,0.0,32114.0,32000.0,1.0
"alpha_corr[Spelling, WordReading]",0.772,0.179,0.464,0.983,0.004,0.008,4496.0,2039.0,1.0
"alpha_corr[WordReading, Vocab]",0.224,0.251,-0.257,0.716,0.003,0.002,8049.0,8017.0,1.0
"alpha_corr[WordReading, Spelling]",0.772,0.179,0.464,0.983,0.004,0.008,4496.0,2039.0,1.0
"alpha_corr[WordReading, WordReading]",1.0,0.0,1.0,1.0,0.0,0.0,31837.0,31330.0,1.0
eta_sd[Vocab],0.052,0.04,0.0,0.13,0.0,0.0,19000.0,17034.0,1.0
eta_sd[Spelling],0.047,0.036,0.0,0.117,0.0,0.0,21645.0,16931.0,1.0
eta_sd[WordReading],0.072,0.054,0.0,0.177,0.001,0.001,6197.0,5600.0,1.0
"mu[Vocab, 1]",0.318,0.078,0.17,0.475,0.0,0.0,39878.0,23391.0,1.0
"mu[Vocab, 2]",0.551,0.079,0.398,0.707,0.0,0.0,47136.0,24766.0,1.0
"mu[Vocab, 3]",0.732,0.085,0.569,0.902,0.0,0.0,41041.0,27021.0,1.0
"mu[Vocab, 4]",1.008,0.101,0.814,1.208,0.0,0.001,44501.0,27431.0,1.0
"mu[Spelling, 1]",-1.008,0.117,-1.241,-0.782,0.001,0.001,21654.0,22192.0,1.0
"mu[Spelling, 2]",-0.442,0.094,-0.628,-0.261,0.001,0.001,34587.0,24768.0,1.0
"mu[Spelling, 3]",0.008,0.093,-0.177,0.19,0.0,0.0,37543.0,26383.0,1.0
"mu[Spelling, 4]",0.339,0.107,0.13,0.548,0.001,0.001,38903.0,29220.0,1.0
"mu[WordReading, 1]",-0.697,0.142,-0.976,-0.421,0.001,0.001,19981.0,21050.0,1.0
"mu[WordReading, 2]",0.125,0.1,-0.079,0.314,0.001,0.001,26233.0,22511.0,1.0
"mu[WordReading, 3]",0.583,0.093,0.403,0.767,0.001,0.0,32480.0,26252.0,1.0
"mu[WordReading, 4]",1.157,0.105,0.954,1.364,0.001,0.001,33075.0,22154.0,1.0
"p_bar[Vocab, 1]",0.579,0.019,0.542,0.616,0.0,0.0,39878.0,23391.0,1.0
"p_bar[Vocab, 2]",0.634,0.018,0.598,0.67,0.0,0.0,47136.0,24766.0,1.0
"p_bar[Vocab, 3]",0.675,0.019,0.639,0.712,0.0,0.0,41041.0,27021.0,1.0
"p_bar[Vocab, 4]",0.732,0.02,0.693,0.77,0.0,0.0,44501.0,27431.0,1.0
"p_bar[Spelling, 1]",0.268,0.023,0.224,0.314,0.0,0.0,21654.0,22192.0,1.0
"p_bar[Spelling, 2]",0.392,0.022,0.348,0.435,0.0,0.0,34587.0,24768.0,1.0
"p_bar[Spelling, 3]",0.502,0.023,0.456,0.547,0.0,0.0,37543.0,26383.0,1.0
"p_bar[Spelling, 4]",0.584,0.026,0.533,0.634,0.0,0.0,38903.0,29220.0,1.0
"p_bar[WordReading, 1]",0.333,0.031,0.271,0.393,0.0,0.0,19981.0,21050.0,1.0
"p_bar[WordReading, 2]",0.531,0.025,0.48,0.578,0.0,0.0,26233.0,22511.0,1.0
"p_bar[WordReading, 3]",0.641,0.021,0.599,0.683,0.0,0.0,32480.0,26252.0,1.0
"p_bar[WordReading, 4]",0.76,0.019,0.722,0.797,0.0,0.0,33075.0,22154.0,1.0
"items_per_logit[Vocab, 1]",7.303,0.09,7.122,7.462,0.0,0.001,39863.0,23391.0,1.0
"items_per_logit[Vocab, 2]",6.95,0.147,6.655,7.227,0.001,0.001,47136.0,24766.0,1.0
"items_per_logit[Vocab, 3]",6.57,0.195,6.182,6.942,0.001,0.001,41041.0,27021.0,1.0
"items_per_logit[Vocab, 4]",5.872,0.274,5.343,6.412,0.001,0.001,44501.0,27431.0,1.0
"items_per_logit[Spelling, 1]",4.892,0.265,4.382,5.416,0.002,0.001,21654.0,22192.0,1.0
"items_per_logit[Spelling, 2]",5.944,0.122,5.697,6.164,0.001,0.001,34587.0,24768.0,1.0
"items_per_logit[Spelling, 3]",6.236,0.019,6.197,6.25,0.0,0.0,22509.0,24976.0,1.0
"items_per_logit[Spelling, 4]",6.058,0.111,5.852,6.25,0.001,0.001,39003.0,29220.0,1.0
"items_per_logit[WordReading, 1]",23.224,1.101,20.999,25.222,0.008,0.006,19981.0,21050.0,1.0
"items_per_logit[WordReading, 2]",26.084,0.183,25.72,26.25,0.001,0.001,28246.0,26012.0,1.0
"items_per_logit[WordReading, 3]",24.102,0.637,22.838,25.293,0.004,0.003,32480.0,26252.0,1.0
"items_per_logit[WordReading, 4]",19.102,1.037,17.022,21.079,0.006,0.005,33075.0,22154.0,1.0
delta[Vocab],0.028,0.028,0.0,0.085,0.0,0.0,13631.0,14680.0,1.0
delta[Spelling],0.031,0.033,0.0,0.098,0.0,0.0,11539.0,13613.0,1.0
delta[WordReading],0.035,0.038,0.0,0.112,0.0,0.001,9437.0,12096.0,1.0
