,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"mu[Vocab, 3]",-0.436,0.104,-0.645,-0.233,0.001,0.0,23566.0,28660.0,1.0
"mu[Vocab, 4]",-0.452,0.112,-0.676,-0.234,0.001,0.001,32156.0,27145.0,1.0
"mu[Spelling, 1]",-2.905,0.236,-3.368,-2.445,0.003,0.002,7992.0,2360.0,1.0
"mu[Spelling, 2]",-2.784,0.235,-3.248,-2.328,0.002,0.001,11343.0,10547.0,1.0
"mu[Spelling, 3]",-2.273,0.228,-2.722,-1.829,0.002,0.001,10237.0,11175.0,1.0
"mu[Spelling, 4]",-2.003,0.24,-2.483,-1.545,0.002,0.001,12067.0,12849.0,1.0
"mu[WordReading, 1]",-2.049,0.192,-2.425,-1.676,0.002,0.001,15407.0,21336.0,1.0
"mu[WordReading, 2]",-1.664,0.189,-2.031,-1.289,0.001,0.001,16071.0,24345.0,1.0
"mu[WordReading, 3]",-1.328,0.187,-1.692,-0.956,0.002,0.001,15428.0,25191.0,1.0
"mu[WordReading, 4]",-0.817,0.19,-1.195,-0.439,0.002,0.001,13604.0,12495.0,1.0
"p_bar[Vocab, 1]",0.319,0.024,0.273,0.367,0.0,0.0,23707.0,25968.0,1.0
"p_bar[Vocab, 2]",0.347,0.024,0.3,0.395,0.0,0.0,21531.0,34130.0,1.0
"p_bar[Vocab, 3]",0.393,0.025,0.344,0.442,0.0,0.0,23566.0,28660.0,1.0
"p_bar[Vocab, 4]",0.389,0.027,0.337,0.442,0.0,0.0,32156.0,27145.0,1.0
"p_bar[Spelling, 1]",0.053,0.012,0.032,0.078,0.0,0.0,7992.0,2360.0,1.0
"p_bar[Spelling, 2]",0.06,0.013,0.035,0.086,0.0,0.0,11343.0,10547.0,1.0
"p_bar[Spelling, 3]",0.095,0.02,0.059,0.134,0.0,0.0,10237.0,11175.0,1.0
"p_bar[Spelling, 4]",0.121,0.025,0.074,0.171,0.0,0.0,12067.0,12849.0,1.0
"p_bar[WordReading, 1]",0.116,0.02,0.078,0.154,0.0,0.0,15407.0,21336.0,1.0
"p_bar[WordReading, 2]",0.161,0.026,0.113,0.212,0.0,0.0,16071.0,24345.0,1.0
"p_bar[WordReading, 3]",0.211,0.031,0.152,0.274,0.0,0.0,15428.0,25191.0,1.0
"p_bar[WordReading, 4]",0.308,0.04,0.23,0.389,0.0,0.0,13604.0,12495.0,1.0
"items_per_logit[Vocab, 1]",6.501,0.258,6.011,7.019,0.002,0.001,23707.0,25968.0,1.0
"items_per_logit[Vocab, 2]",6.782,0.22,6.339,7.19,0.001,0.001,21531.0,34130.0,1.0
"items_per_logit[Vocab, 3]",7.138,0.161,6.818,7.427,0.001,0.001,23568.0,28660.0,1.0
"items_per_logit[Vocab, 4]",7.111,0.178,6.768,7.44,0.001,0.001,32156.0,27145.0,1.0
"items_per_logit[Spelling, 1]",1.254,0.264,0.777,1.796,0.003,0.002,7992.0,2360.0,1.0
"items_per_logit[Spelling, 2]",1.395,0.287,0.85,1.956,0.003,0.002,11343.0,10547.0,1.0
"items_per_logit[Spelling, 3]",2.143,0.392,1.412,2.933,0.004,0.002,10237.0,11175.0,1.0
"items_per_logit[Spelling, 4]",2.645,0.475,1.752,3.587,0.004,0.002,12067.0,12849.0,1.0
"items_per_logit[WordReading, 1]",10.697,1.571,7.68,13.768,0.013,0.01,15407.0,21336.0,1.0
"items_per_logit[WordReading, 2]",14.107,1.792,10.637,17.635,0.014,0.01,16071.0,24345.0,1.0
"items_per_logit[WordReading, 3]",17.387,1.857,13.791,21.061,0.015,0.009,15428.0,25191.0,1.0
"items_per_logit[WordReading, 4]",22.204,1.604,19.087,25.283,0.014,0.009,13604.0,12495.0,1.0
delta[Vocab],0.03,0.031,0.0,0.095,0.0,0.0,15097.0,17924.0,1.0
delta[Spelling],0.039,0.044,0.0,0.13,0.0,0.0,15693.0,12474.0,1.0
delta[WordReading],0.03,0.031,0.0,0.093,0.0,0.0,14242.0,17710.0,1.0
