,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"B[Vocab, Vocab]",0.119,0.187,-0.248,0.473,0.001,0.001,23078.0,18909.0,1.0
"B[Vocab, Spelling]",-0.003,0.144,-0.293,0.263,0.001,0.001,14316.0,3479.0,1.0
"B[Vocab, WordReading]",0.011,0.144,-0.269,0.288,0.001,0.001,13153.0,12258.0,1.0
"B[Spelling, Vocab]",-0.002,0.144,-0.287,0.271,0.001,0.001,22438.0,24067.0,1.0
"B[Spelling, Spelling]",0.111,0.186,-0.251,0.469,0.001,0.001,31026.0,19321.0,1.0
"B[Spelling, WordReading]",0.003,0.144,-0.271,0.29,0.001,0.001,37274.0,27765.0,1.0
"B[WordReading, Vocab]",-0.001,0.142,-0.274,0.279,0.001,0.001,48388.0,31672.0,1.0
"B[WordReading, Spelling]",0.009,0.141,-0.266,0.278,0.001,0.001,22961.0,29828.0,1.0
"B[WordReading, WordReading]",0.156,0.187,-0.213,0.507,0.001,0.001,23251.0,31629.0,1.0
B_autoregressive[Vocab],0.119,0.187,-0.248,0.473,0.001,0.001,23078.0,18909.0,1.0
B_autoregressive[Spelling],0.111,0.186,-0.251,0.469,0.001,0.001,31026.0,19321.0,1.0
B_autoregressive[WordReading],0.156,0.187,-0.213,0.507,0.001,0.001,23251.0,31629.0,1.0
"B_crosslag[Vocab, Vocab]",0.0,0.0,0.0,0.0,0.0,,48000.0,48000.0,
"B_crosslag[Vocab, Spelling]",-0.003,0.144,-0.293,0.263,0.001,0.001,14316.0,3479.0,1.0
"B_crosslag[Vocab, WordReading]",0.011,0.144,-0.269,0.288,0.001,0.001,13153.0,12258.0,1.0
"B_crosslag[Spelling, Vocab]",-0.002,0.144,-0.287,0.271,0.001,0.001,22438.0,24067.0,1.0
"B_crosslag[Spelling, Spelling]",0.0,0.0,-0.0,0.0,0.0,,48000.0,48000.0,
"B_crosslag[Spelling, WordReading]",0.003,0.144,-0.271,0.29,0.001,0.001,37274.0,27765.0,1.0
"B_crosslag[WordReading, Vocab]",-0.001,0.142,-0.274,0.279,0.001,0.001,48388.0,31672.0,1.0
"B_crosslag[WordReading, Spelling]",0.009,0.141,-0.266,0.278,0.001,0.001,22961.0,29828.0,1.0
"B_crosslag[WordReading, WordReading]",0.0,0.0,0.0,0.0,0.0,,48000.0,48000.0,
B_half_life[Vocab],0.418,0.204,0.106,0.823,0.001,0.002,18027.0,20001.0,1.0
B_half_life[Spelling],0.411,0.195,0.102,0.796,0.001,0.001,23202.0,19338.0,1.0
B_half_life[WordReading],0.451,0.224,0.113,0.901,0.002,0.001,18298.0,20626.0,1.0
beta_age[Vocab],0.22,0.077,0.072,0.38,0.001,0.001,13360.0,4971.0,1.0
beta_age[Spelling],0.611,0.2,0.225,1.002,0.002,0.001,12555.0,10909.0,1.0
beta_age[WordReading],0.542,0.177,0.191,0.891,0.001,0.001,15356.0,21823.0,1.0
"beta_person[gender, Vocab]",-0.045,0.145,-0.332,0.24,0.001,0.001,12720.0,28958.0,1.0
"beta_person[gender, Spelling]",0.235,0.306,-0.363,0.842,0.002,0.002,15311.0,16290.0,1.0
"beta_person[gender, WordReading]",0.113,0.284,-0.452,0.666,0.002,0.002,13166.0,13845.0,1.0
alpha_sd[Vocab],0.265,0.086,0.089,0.435,0.001,0.001,8767.0,6842.0,1.0
alpha_sd[Spelling],0.874,0.124,0.639,1.118,0.001,0.001,21336.0,25664.0,1.0
alpha_sd[WordReading],0.876,0.1,0.69,1.075,0.001,0.001,15659.0,17972.0,1.0
"alpha_corr[Vocab, Vocab]",1.0,0.0,1.0,1.0,0.0,,48000.0,48000.0,
"alpha_corr[Vocab, Spelling]",0.037,0.219,-0.394,0.456,0.003,0.002,6185.0,4684.0,1.0
"alpha_corr[Vocab, WordReading]",0.137,0.205,-0.249,0.546,0.002,0.002,6753.0,6273.0,1.0
"alpha_corr[Spelling, Vocab]",0.037,0.219,-0.394,0.456,0.003,0.002,6185.0,4684.0,1.0
"alpha_corr[Spelling, Spelling]",1.0,0.0,1.0,1.0,0.0,0.0,40291.0,44841.0,1.0
"alpha_corr[Spelling, WordReading]",0.751,0.106,0.545,0.935,0.001,0.001,11366.0,21387.0,1.0
"alpha_corr[WordReading, Vocab]",0.137,0.205,-0.249,0.546,0.002,0.002,6753.0,6273.0,1.0
"alpha_corr[WordReading, Spelling]",0.751,0.106,0.545,0.935,0.001,0.001,11366.0,21387.0,1.0
"alpha_corr[WordReading, WordReading]",1.0,0.0,1.0,1.0,0.0,0.0,43179.0,44387.0,1.0
eta_sd[Vocab],0.069,0.053,0.0,0.171,0.0,0.0,11875.0,19634.0,1.0
eta_sd[Spelling],0.091,0.07,0.0,0.225,0.001,0.0,15304.0,19284.0,1.0
eta_sd[WordReading],0.06,0.047,0.0,0.151,0.0,0.001,11505.0,6940.0,1.0
"mu[Vocab, 1]",-0.76,0.11,-0.98,-0.546,0.001,0.001,23707.0,25968.0,1.0
"mu[Vocab, 2]",-0.633,0.106,-0.846,-0.428,0.001,0.0,21531.0,34130.0,1.0
