,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"p_bar[Vocab, 2]",0.533,0.025,0.484,0.581,0.0,0.0,28021.0,26557.0,1.0
"p_bar[Vocab, 3]",0.61,0.025,0.562,0.66,0.0,0.0,27337.0,25000.0,1.0
"p_bar[Vocab, 4]",0.658,0.028,0.603,0.714,0.0,0.0,31877.0,26288.0,1.0
"p_bar[Spelling, 1]",0.132,0.02,0.095,0.172,0.0,0.0,15968.0,19658.0,1.0
"p_bar[Spelling, 2]",0.207,0.025,0.158,0.254,0.0,0.0,19340.0,21327.0,1.0
"p_bar[Spelling, 3]",0.319,0.032,0.257,0.382,0.0,0.0,22061.0,23981.0,1.0
"p_bar[Spelling, 4]",0.404,0.04,0.324,0.481,0.0,0.0,25188.0,25111.0,1.0
"p_bar[WordReading, 1]",0.121,0.019,0.086,0.159,0.0,0.0,14039.0,18517.0,1.0
"p_bar[WordReading, 2]",0.255,0.028,0.199,0.31,0.0,0.0,13821.0,19835.0,1.0
"p_bar[WordReading, 3]",0.371,0.034,0.304,0.439,0.0,0.0,18584.0,21997.0,1.0
"p_bar[WordReading, 4]",0.494,0.04,0.416,0.573,0.0,0.0,20805.0,24419.0,1.0
"items_per_logit[Vocab, 1]",7.457,0.051,7.354,7.5,0.0,0.001,19777.0,21161.0,1.0
"items_per_logit[Vocab, 2]",7.449,0.055,7.339,7.5,0.0,0.0,27387.0,26557.0,1.0
"items_per_logit[Vocab, 3]",7.116,0.166,6.789,7.415,0.001,0.001,27337.0,25000.0,1.0
"items_per_logit[Vocab, 4]",6.73,0.268,6.192,7.216,0.002,0.001,31877.0,26288.0,1.0
"items_per_logit[Spelling, 1]",2.864,0.36,2.177,3.587,0.003,0.002,15968.0,19658.0,1.0
"items_per_logit[Spelling, 2]",4.085,0.361,3.372,4.771,0.003,0.002,19340.0,21327.0,1.0
"items_per_logit[Spelling, 3]",5.405,0.288,4.85,5.956,0.002,0.001,22061.0,23981.0,1.0
"items_per_logit[Spelling, 4]",5.978,0.198,5.6,6.25,0.001,0.001,25374.0,25111.0,1.0
"items_per_logit[WordReading, 1]",11.164,1.496,8.267,14.084,0.013,0.009,14039.0,18517.0,1.0
"items_per_logit[WordReading, 2]",19.839,1.456,16.862,22.547,0.012,0.008,13821.0,19835.0,1.0
"items_per_logit[WordReading, 3]",24.365,0.943,22.537,26.021,0.007,0.005,18586.0,21997.0,1.0
"items_per_logit[WordReading, 4]",26.076,0.247,25.586,26.25,0.002,0.003,22851.0,24665.0,1.0
delta[Vocab],0.043,0.039,0.0,0.121,0.0,0.0,5886.0,10314.0,1.0
delta[Spelling],0.112,0.12,0.0,0.366,0.004,0.003,1348.0,2757.0,1.01
delta[WordReading],0.118,0.127,0.0,0.386,0.004,0.003,1268.0,2157.0,1.01
