code,sex,readgrp,age1,age2,age3,age4,age5,speed3,speed4,speed5,basmat3,basmat4,basmat5,bassim1,bassim2,bassim3,bassim4,bassim5,basdig1,basdig2,basdig3,basdig4,basdig5,basnum1,basnum2,basnum3,basnum4,basnum5,basread1,basread2,basread3,basread4,basread5,basspel1,basspel2,basspel3,basspel4,basspel5,trog1,trog2,trog3,trog4,trog5,woco1,woco2,woco3,woco4,woco5,bpvs1,bpvs2,bpvs3,bpvs4,bpvs5
0F68DEB72307,1,2,97,108,119,,,29,,,10,,,11,15,15,,,23,24,23,,,46,50,49,,,81,85,87,,,12,14,14,,,14,19,19,,,24,22,26,,,21,18,23,,
0173C99F3A6D,2,2,97,110,121,134,,25,25,,14,21,,8,11,13,13,,17,20,22,24,,43,48,51,58,,51,76,83,86,,9,13,16,15,,17,18,19,19,,18,22,24,26,,17,21,22,20,
D92528B67807,2,2,102,115,127,,,28,,,13,,,7,11,13,,,20,21,26,,,47,47,51,,,60,73,73,,,10,13,15,,,12,16,18,,,16,18,16,,,16,18,19,,
E344E36BA897,2,2,92,103,114,127,,25,25,,14,21,,13,15,17,17,,33,28,33,34,,44,51,57,57,,71,77,79,82,,10,11,15,16,,18,19,19,20,,20,20,25,,,18,18,22,25,
E0C08C8C38F8,2,2,89,97,108,121,,19,26,,19,22,,11,10,10,14,,20,23,21,25,,,49,53,60,,52,61,76,79,,,13,12,14,,17,19,19,19,,16,18,21,23,,17,17,16,21,
091B0E62204F,2,2,84,95,106,,,25,,,13,,,12,15,16,,,24,25,25,,,34,47,46,,,40,56,76,,,9,10,13,,,19,19,19,,,9,20,20,,,19,22,22,,
95DF598B08B9,1,2,85,97,109,,,18,,,11,,,8,10,13,,,14,13,17,,,38,47,47,,,17,31,31,,,5,6,7,,,16,18,18,,,1,2,9,,,17,16,21,,
C9B1BDC898BC,2,2,94,105,117,,,28,,,12,,,10,9,13,,,15,18,19,,,43,51,51,,,52,55,65,,,9,12,14,,,16,17,16,,,15,19,20,,,14,17,19,,
1D01482BB7A8,1,2,95,106,118,131,,28,29,,11,16,,13,13,17,17,,22,18,19,25,,39,40,50,58,,57,65,77,83,,9,10,13,13,,18,18,19,19,,17,20,23,30,,25,22,27,28,
FA5C55262FAD,2,2,79,90,101,113,,9,12,,6,5,,10,11,10,12,,12,21,18,18,,16,28,36,44,,8,19,28,49,,2,4,7,9,,14,16,18,16,,0,6,9,13,,17,18,18,19,
0BBCFE75568B,1,2,78,88,100,112,,,14,,8,13,,8,9,11,10,,11,17,17,20,,30,36,44,46,,16,38,55,78,,3,6,13,13,,12,14,17,16,,3,11,17,20,,13,16,17,19,
0D91EA3E318E,1,2,71,82,93,105,,9,17,,13,13,,9,,13,15,,20,16,23,22,,29,42,50,46,,28,58,76,77,,6,10,11,15,,15,16,17,18,,6,12,22,26,,16,21,19,20,
58C947E513A9,2,2,75,87,98,110,,7,17,,11,16,,10,11,11,13,,19,24,22,26,,36,48,48,56,,26,62,71,78,,7,12,15,16,,16,19,18,19,,4,17,21,25,,15,19,19,20,
708B6FF278F6,2,2,74,86,,,,,,,,,,9,10,,,,19,24,,,,32,37,,,,16,49,,,,,9,,,,16,14,,,,1,13,,,,16,20,,,
3722422B82F6,1,2,82,,,,,,,,,,,8,,,,,18,,,,,31,,,,,20,,,,,5,,,,,15,,,,,2,,,,,15,,,,
5D0CD8E3164A,2,2,90,102,112,,,18,,,5,,,6,7,9,,,10,16,16,,,19,28,36,,,14,22,38,,,3,6,8,,,8,12,13,,,2,1,11,,,13,14,16,,
0CA196598A75,2,2,90,101,111,126,,26,31,,11,13,,10,11,14,15,,18,21,22,21,,42,42,49,56,,35,53,57,77,,8,11,13,17,,18,17,17,18,,13,20,23,27,,18,21,20,23,
734A520B1858,1,2,85,97,107,121,,25,28,,12,16,,7,11,10,12,,17,18,21,25,,46,47,48,55,,53,77,79,87,,,15,15,17,,15,15,17,18,,14,20,20,24,,18,19,21,21,
6B709E68412C,2,2,76,83,95,107,,,16,,2,6,,6,7,10,9,,19,18,24,23,,22,34,38,47,,36,59,68,79,,6,9,11,12,,14,14,17,19,,5,15,15,20,,12,15,17,16,
0EBE02302D94,2,2,77,85,96,109,,10,16,,8,9,,7,8,10,12,,15,19,16,23,,28,38,36,46,,29,55,55,65,,5,8,10,12,,,15,17,17,,8,16,13,22,,18,24,18,19,
130DC195762C,2,2,65,73,85,97,,,15,,2,8,,5,6,8,11,,14,23,22,23,,27,32,33,39,,6,19,37,62,,2,5,7,10,,10,13,13,17,,0,1,10,19,,14,9,16,18,
19B51A3EC849,1,2,64,72,84,96,,,,,6,11,,6,4,9,10,,14,16,19,20,,24,36,44,46,,15,31,55,71,,3,7,12,15,,9,9,13,17,,0,7,15,17,,10,12,14,18,
9CB9E5096BE7,2,2,72,83,,107,,,18,,,9,,7,9,,10,,22,24,,24,,28,36,,53,,18,31,,73,,4,6,,15,,10,17,,17,,3,10,,18,,17,17,,20,
672FB76E73B6,1,2,70,81,,105,,,14,,,22,,8,9,,12,,20,21,,23,,26,38,,49,,8,19,,82,,2,6,,16,,14,14,,18,,2,3,,22,,18,17,,23,
72F6D06F3902,2,2,71,78,90,102,,,15,,13,22,,8,8,8,12,,15,20,20,21,,29,33,38,49,,25,56,64,82,,,7,11,12,,15,17,20,19,,3,14,17,22,,15,16,21,22,
